id,name,domain,owner,division_id
1271,SAOTXWW-FS9P611,PEROOT,UODELDA,\N
1272,SAOTXWW-FY47351,PEROOT,UODELDA,\N
1273,SAOTXWW-J2FJW01,PEROOT,UODELDA,\N
1274,SAOTXWL-5961TF1,PEROOT.COM,uyaunre,\N
1275,SAOTXWL-97l2jf1,PEROOT.COM,USTEIMI,\N
1276,SAOTXWL-7B61TF1,PEROOT,vjoshma,\N
1277,SAOTXWL-5pmnhb1,PEROOT,usun9yu,\N
1289,SAOTXWW-732M1G1,PEROOT,UBUENAD,\N
673,SAOTXWL-3NVSN91,PEROOT.COM,USLAUTE,\N
688,SAOTXWL-HSVSN91,Peroot,UHAYELI,\N
685,SAOTXWL-20JLWG1,PEROOT.COM,UMONTCL,\N
686,SAOTXWL-7D61TF1,PEROOT.COM,UGRISJU,\N
687,SAOTXWL-117MVG1,Peroot,UCOURLI,\N
690,SAOTXWL-gl0fzc1,PEROOT,UGAO9LI,\N
693,SAOTXWW-H5VZS21,PEROOT,URAMIJO,\N
694,SAOTXWL-639JRD1,Peroot,ULIBBJO,\N
697,SAOTXWL-319JDR1,Peroot,UPOCHLU,\N
699,SAOTXWL-B4T2FH1,PEROOT,UHERNLY,\N
703,SAOTXWW-JN1QV61,PEROOT,UOROSMA,\N
706,SAOTXWL-3TQCV31,PEROOT,UJOHNMA,\N
710,SAOTXWW-1622291,PEROOT,UDEVOCA,\N
712,SAOTXWL-3Y7CF51,PEROOT,UROBEMA,\N
713,SAOTXWW-G5PNP21,PEROOT,UMARTM7,\N
714,SAOTXWW-11Q7T91,PEROOT,UMATAMA,\N
716,SATD-2D7YN91,PEROOT,UTORRMA,\N
717,SAOTXWL-8CSNY91,PEROOT,UMANNL2,\N
719,SAOTXWL-71GSM41,PEROOT,UORTAME,\N
720,SAOTXWL-BZXMJ91,PEROOT,UYOUNMI,\N
721,SATD-1PQNP21,PEROOT,UPOLKMI,\N
722,SATD-C87YN91,PEROOT,UREYEMO,\N
725,SAOTXWL-BCCJQ51,Peroot,UMOORNI,\N
726,SAOTXWL-H7NNHB1,PEROOT,UMARTNO,\N
727,SAOTXWW-4t47351,PEROOT,UMASCNO,\N
728,SAOTXWL-BXM1M71,Peroot,UFRAZPA,\N
729,SAOTXWL-C7X3461,Peroot,UPARMPA,\N
733,SAOTXWW-HX5GB11,PEROOT,UMILLPE,\N
734,SAOTXWL-8XM1M71,PEROOT,UXUE9QI,\N
737,SAOTXWW-2M1QV61,PEROOT,UMAYERA,\N
740,SAOTXWW-g66jy51,PEROOT,URAKIRI,\N
741,SAOTXWL-H9GSM41,Peroot,UWILMRI,\N
742,SAOTXWL-f39jrd1,Peroot,UHONSRO,\N
745,SAOTXWW-576JY51,PEROOT,UBARBSA,\N
749,SAOTXWL-9B3ZC81,PEROOT,UGRANSH,\N
756,SAOTXWL-9QJ1181,Peroot,UPALAST,\N
758,SAOTXWL-BB61TF1,Peroot,UPROSST,\N
759,SATD-J0Q7T91,PEROOT,UTAYLS2,\N
762,SAOTXWW-9RP6L31,PEROOT,URonqTe,\N
764,SAOTXWL-8961TF1,Peroot,UREIDTI,\N
768,SAOTXWL-8lj1181,PEROOT,UMITCTR,\N
769,SAOTXWW-2WHCR21,PEROOT,UMITCTR,\N
771,SAOTXWL-9QBZZ71,PEROOT,UALEJJU,\N
772,SAOTXWW-F217Y21,PEROOT,UALONME,\N
773,SAOTXWL-HVNNHB1,PEROOT,UARENST,\N
774,SAOTXWW-F2J1J41,Peroot,UBAGBRO,\N
775,SAOTXWLF59JRD1,Peroot,UBALABA,\N
776,SAOTXWL-F961TF1,PEROOT,UBARTL2,\N
779,saotxwl-FCGSM41,PEROOT,UBERUAL,\N
780,SAOTXWW-40KQW41,Peroot,UBHATKA,\N
783,saotxwl-CG3ZC81,PEROOT,UBODIKA,\N
784,SAOTXWL-5XM1M71,PEROOT,UBOECPE,\N
785,SAOTXWL-GL7K941,PEROOT,UBOTTNA,\N
787,SAOTXWW-3S47351,PEROOT,UBOWLPE,\N
788,SAOTXWW-54ZGG21,Peroot,UBRIORI,\N
789,SAOTXWL-G5T2FH1,Peroot,UBRUENA,\N
790,SAOTXWL-3TNNHB1,PEROOT,UCADEDO,\N
793,SAOTXWL-3GRKJ91,Peroot,UCARODA,\N
794,SAOTXWW-5RL9W21,PEROOT,UCARTL2,\N
798,SAOTXWL-GTYCKH1,PEROOT,UCHAVDI,\N
803,SAOTXWL-H4T2FH1,PEROOT,UCONRSU,\N
805,SAOTXWL-9FY2FH1,PEROOT,UCOTNCA,\N
807,saotxwl-C7L2JF1,PEROOT,UCRAIKE,\N
808,SAOTXWL-C8ZJM31,Peroot,UCRAWKI,\N
809,SAOTXWL-2D7XS71,Peroot,UCROZKE,\N
811,SAOTXWL-CHJL9G1,PEROOT,UCYGAJO,\N
812,SAOTXWW-30KQW41,PEROOT,UCYGAJO,\N
817,SAOTXWW-,PEROOT,SAOTXWW-HTQ1Y61,\N
829,saotxwl-9F5PZ61,PEROOT,UFEINKA,\N
831,SAOTXWL-77LHP61,PEROOT,UFREERU,\N
881,SAOTXWW_FQD5J11,Peroot,UHERRJA,\N
884,SAOTXWW-D0Q7T91,PEROOT,UHOHMJE,\N
887,SAOTXWL-CKJD241,Peroot,UHUNTAN,\N
888,SAOTXWW-8394231,PEROOT,UIVY9MA,\N
835,SAOTXWL-JB7XS71,Peroot,UGERABR,\N
836,saotxwl-6L8KF41,PEROOT,UGILLLY,\N
838,SAOTXWW-8NQNP21,PEROOT,UGONZAN,\N
839,saotxwl-2C9NZF1,PEROOT,UGONZGE,\N
840,SAOTXWW-666JY51,PEROOT,UGONZHE,\N
841,SAOTXWL-7C7XS71,PEROOT,UGONZP2,\N
873,SAOTXWL-D22B5K1,PEROOT,UGUERDI,\N
874,SAOTXWL,PEROOT,UGUTIAN,\N
876,SAOTXWL-993ZC81,PEROOT,UHARTS3,\N
877,SAOTXWW-b7l3vg1,PEROOT,UHENSSC,\N
878,saotxwl-HJWGW41,PEROOT,UHENSTE,\N
879,saotxww-5627JC1,PEROOT,UHENSTE,\N
880,saotxwl-6B84V61,PEROOT,UHERNRO,\N
950,SAOTXWL-1J0FZC1,PEROOT,UPATTTI,\N
893,SAOTXWW-84T4J11,PEROOT,UJONEK2,\N
894,SAOTXWW-91VB241,PEROOT,UJONEK2,\N
895,SAOTXWL-CVYCKH1,Peroot,UKapaAn,\N
896,SAOTXWL-H7L2JF1,PEROOT,UKAPLAN,\N
901,SAOTXWW-BMCS5D1,PEROOT,UKIRBMI,\N
902,SAOTXWW-H66JY51,PEROOT,UKOLATO,\N
903,SAOTXWW-9V4JY51,PEROOT,UKRAUPA,\N
904,SAOTXWL-8DH5Q41,PEROOT,ULANDKE,\N
905,SAOTXWW-,PEROOT,ULANDKE,\N
906,SAOTXWL-H93ZC81,PEROOT,ULEISBR,\N
908,SAOTXWL-3J4G251,PEROOT,UMACILA,\N
909,saotxwl-FDX3461,PEROOT,UMALLHE,\N
912,SAOTXWW-1622303,PEROOT,UMARTD3,\N
917,SAOTXWL-339JRD1,PEROOT,UMARTVA,\N
919,SAOTXWW-HB1M1G1,PEROOT,UMAYERA,\N
924,SAOTXWW-G6YFB11,PEROOT,UMENDBR,\N
926,SAOTXWW-J194L81,PEROOT,UMENDSY,\N
932,SAOTXWL-HDGSM41,Peroot,UMIKSJA,\N
937,SAOTXWL-C99NZF1,PEROOT,UMONTAN,\N
938,SAOTXWL-HRN59F1,PEROOT,UMONTES,\N
939,SAOTXWW-1S47351,PEROOT,UMONTES,\N
940,SAOTXWW-4L1QV61,PEROOT,UMONTES,\N
941,SAOTXWW-8TMBR51,PEROOT,UMONTES,\N
942,SAOTXWW-F3Z3J41,PEROOT,UMONTES,\N
943,SAOTXWW-7XHCR21,PEROOT,UMOORDU,\N
944,SAOTXWW-53PNP21,PEROOT,UMOORGL,\N
945,SAOTXWW-7W84231,PEROOT,UMOORGL,\N
951,SAOTXWW-BV47351,PEROOT,UPAZ9EL,\N
954,SAOTXWL-BDRKJ91,PEROOT,UPEREDA,\N
957,SAOTXWL-BPN59F1,Peroot,UPOULGR,\N
961,SAOTXWW-9X47351,PEROOT,UQUINMA,\N
1017,SAOTXWL-C29JRD1,PEROOT,USTAIWI,\N
963,SAOTXWL-1SQCV31,PEROOT,UREGARU,\N
966,SAOTXWL-BPR7H51,Peroot,URESPAN,\N
967,SAOTXWW-FB7YN91,PEROOT,UREYER2,\N
968,SAOTXWL-CCYF251,Peroot,UREZNTO,\N
971,SAOTXWW-1547351,PEROOT,URICHJU,\N
972,SAOTXWW-35K7F51,PEROOT,URICHJU,\N
973,SAOTXWW-B8L3VG1,PEROOT,URIOSVA,\N
974,SAOTXWL-1X4DBG1,PEROOT,URIVEAD,\N
975,SAOTXWW-10Q7T91,PEROOT,URIVES2,\N
979,SAOTXWW-JRP6L31,PEROOT,UROCARA,\N
982,SAOTXWL-2X4DBG1,PEROOT,UROGEDO,\N
987,SAOTXWW-83K0P91,PEROOT,USALABA,\N
990,SAOTXWL-FKJL9GL,PEROOT,USANCEL,\N
991,SAOTXWL-BB84V61,Peroot,USANDMA,\N
992,SAOTXWL-gmr7h51,Peroot,USCHAAN,\N
993,SAOTXWW-2SFS5D1,Peroot,USCHAAN,\N
994,SAOTXWL-2JSTYB1,PEROOT,USCHMD2,\N
995,SAOTXWL-F63ZC81,PEROOT,USCHOPA,\N
996,SAOTXWW-J7L3VG1,PEROOT,USEGUFE,\N
997,SAOTXWW-CY47351,PEROOT,USEWEJA,\N
999,SAOTXWW-H7L3VG1,PEROOT,USHAFJO,\N
1000,SAOTXWL-7Y4DBG1,Peroot,USHOCGI,\N
1005,saotxwl-7DR7H51,PEROOT,USIMSCH,\N
1006,SAOTXWL-4SMNHB1,Peroot,USINCJE,\N
1007,SAOTXWW-397YN91,Peroot,USINCJE,\N
1008,SAOTXWW-64J1J41,Peroot,USINCJE,\N
1009,SAOTXWW-B03PJD1,Peroot,USINCJE,\N
1010,SAOTXWW-H317Y21,Peroot,USINCJE,\N
1011,SATD-76YFB11,Peroot,USINCJE,\N
1012,SATD-787YN91,Peroot,USINCJE,\N
1015,SAOTXWW-G094L81,PEROOT,USOUZEV,\N
1019,SAOTXWL-JTYCKH1,Peroot,UBabuNi,\N
1030,SAOTXWL-6VF9X51,Peroot,UTRIPDI,\N
1034,SAOTXWL-1F4G251,PEROOT,UWILLP4,\N
1035,SAOTXWL-C5MKJ91,PEROOT,UWILLUR,\N
1037,SAOTXWL-1621754,PEROOT,UWOMBSH,\N
1039,SAOTXWW-77L2JF1,PEROOT,UYORKNO,\N
1040,SAOTXWW-38L3VG1,PEROOT,UZAMADI,\N
1042,saotxwl-1DSNY91,PEROOT,UZELLME,\N
1044,SAOTXWL-G58CF51,PEROOT,UZYWIKA,\N
1045,SAOTXWW-70KQW41,PEROOT,UZYWIKA,\N
1046,saotxww-9L1QV61,PEROOT,VALEMAM,\N
1047,SAOTXWW-G0Q7T91,PEROOT,VHOLMMI,\N
1052,SAOTXWL-38SMNH1,Peroot,VVENKK2,\N
1053,SAOTXWL-1C58J71,Peroot,URohnWa,\N
1058,SATD-19KOP91,MEASSVCS,UROSAAL,\N
1059,SATD-987YN91,MEASSVCS,UROSAAL,\N
1060,SATD-997YN91,MEASSVCS,UROSAAL,\N
1061,SATD-9OQ7T91,MEASSVCS,UROSAAL,\N
1062,SATD-B5K0P91,MEASSVCS,UROSAAL,\N
1063,SATD-D3KOP91,MEASSVCS,UROSAAL,\N
1067,SAOTXWL-1JF9X51,Peroot,UMCCAAN,\N
1073,SAOTXWL-5Z4DBG1,Peroot,URAMIBE,\N
1075,SAOTXWL-G6L2JF1,PEROOT,UBURGBR,\N
1077,SAOTXWL-1KJL9G1,Peroot,UFIELBR,\N
1080,SAOTXWL-fcsny91,PEROOT,UHYMACA,\N
1083,SAOTXWL-9n1qv61,PEROOT,UCHAVCE,\N
1084,SAOTXWW-9394L81,PEROOT,UCHAVCE,\N
1085,SAOTXWL-B29JRD1,Peroot,UNEALCH,\N
1087,SAOTXWW-f7l3vg1,PEROOT,URIVECH,\N
1089,SAOTXWW-J2DTZ41,PEROOT,USCHLCL,\N
1090,SAOTXWL-5MVSN91,PEROOT,UFAUBCO,\N
1091,SAOTXWW-JXMBR51,PEROOT,UMUNOCY,\N
1095,SAOTXWL-HFR0181,Peroot,USCHMD3,\N
1099,SAOTXWL-HG3ZC81,PEROOT,USTRIDA,\N
1103,SAOTXWL-33GSM41,Peroot,UBALLDA,\N
1106,SAOTXWW-g97yn91,PEROOT,UHEILDE,\N
1108,SAOTXWL-FH58J71,PEROOT,USILVDI,\N
1110,SAOTXWL-B7L2JF1,PEROOT,UMCPEEA,\N
1111,SAOTXWW-FQBJG21,PEROOT,UALMAED,\N
1112,SAOTXWL-129JRD1,Peroot,UBERUEL,\N
1113,SAOTXWL-G19JRD1,Peroot,UVURAEL,\N
1114,SAOTXWW-2P1QV61,PEROOT,UPALOEL,\N
1116,SAOTXWL-GG7XS71,Peroot,UEARWEM,\N
1118,SAOTXWW-87L3VG1,PEROOT,UESTRER,\N
1119,SAOTXWW-HT4JY51,PEROOT,UMONTES,\N
1120,SAOTXWW-HZP7T91,PEROOT,UMONTES,\N
1121,SAOTXWL-49STYB1,PEROOT,UTECHGE,\N
1125,SATD-4PBZZ71,PEROOT,UNUTTGR,\N
1128,SATD-9LQNP21,PEROOT,UHARDHE,\N
1129,SAOTXWL-9J0FZC1,PEROOT,UZHANHO,\N
1130,SAOTXWL-HQN59F1,PEROOT,UWEI9HU,\N
1131,saotxwl-96T2FH1,peroot,UPEREI2,\N
1132,SAOTXWW-H2Z3J41,PEROOT,UDIAZIR,\N
1135,SAOTXWW-brfs5d1,PEROOT,UHUDSJA,\N
1138,SAOTXWL-967XS71,Peroot,UCOATJE,\N
1139,SAOTXWL-479JRD1,PEROOT,UHARRJE,\N
1140,SAOTXWL-fc9nzf1,PEROOT,UGRIPGE,\N
1141,SAOTXWL-242B5K1,PEROOT,UWISEJ2,\N
1142,SAOTXWL-7MN59F1,PEROOT,UACOSJO,\N
1143,SAOTXWW-676JY51,PEROOT,UACOSJO,\N
1144,SAOTXWW-7KQKP11,PEROOT,UACOSJO,\N
1145,SAOTXWW-88KGB11,PEROOT,UACOSJO,\N
1146,SAOTXWW-8RD5J11,PEROOT,UACOSJO,\N
1147,SAOTXWW-J5VZS21,PEROOT,UACOSJO,\N
1148,SAOTXWW-2C7YN91,PEROOT,USALDJO,\N
1149,SAOTXWW-5d7yn91,PEROOT,USALDJO,\N
1150,SAOTXWW-BOQ7T91,PEROOT,USALDJO,\N
1151,SAOTXWW-bzp7t91,PEROOT,USALDJO,\N
1152,SAOTXWW-cc7yn91,PEROOT,USALDJO,\N
1153,SAOTXWW-G8K0P91,PEROOT,USALDJO,\N
1154,SATD-1v47351,PEROOT,USALDJO,\N
1155,SATD-1YHCR21,MEASSVCS,USALDJO,\N
1156,SATD-26vzs21,PEROOT,USALDJO,\N
1157,SATD-35PNP21,PEROOT,USALDJO,\N
1158,SATD-3PQNP21,PEROOT,USALDJO,\N
1159,SATD-3XVGG21,MEASSVCS,USALDJO,\N
1160,SATD-4094231,MEASSVCS,USALDJO,\N
1161,SATD-44FPP21,PEROOT,USALDJO,\N
1162,SATD-45K7F51,PEROOT,USALDJO,\N
1163,SATD-4Z84231,PEROOT,USALDJO,\N
1164,SATD-55PNP21,PEROOT,USALDJO,\N
1165,SATD-73FPP21,PEROOT,USALDJO,\N
1166,SATD-75l9w21,PEROOT,USALDJO,\N
1167,SATD-7PQNP21,PEROOT,USALDJO,\N
1168,SATD-81JCR21,PEROOT,USALDJO,\N
1169,SATD-8LQNP21,PEROOT,USALDJO,\N
1170,SATD-95PNP21,PEROOT,USALDJO,\N
1171,SATD-95VZS21,PEROOT,USALDJO,\N
1172,SATD-96VZS21,PEROOT,USALDJO,\N
1173,SATD-b3fpp21,PEROOT,USALDJO,\N
1174,SATD-B4PNP21,MEASSVCS,USALDJO,\N
1175,SATD-b5pnp21,PEROOT,USALDJO,\N
1176,SATD-BMQNP21,MEASSVCS,USALDJO,\N
1177,SATD-CF2GG21,PEROOT,USALDJO,\N
1178,SATD-cqctz41,PEROOT,USALDJO,\N
1179,SATD-d0jcr21,PEROOT,USALDJO,\N
1180,SATD-DNQNP21,PEROOT,USALDJO,\N
1181,SATD-f4l9w21,PEROOT,USALDJO,\N
1182,SATD-FRQNP21,PEROOT,USALDJO,\N
1183,SATD-g3pnp21,PEROOT,USALDJO,\N
1184,SATD-gpqnp21,PEROOT,USALDJO,\N
1185,SATD-GXHCR21,MEASSVCS,USALDJO,\N
1186,SATD-gyhcr21,PEROOT,USALDJO,\N
1188,SATD-40Q7T91,PEROOT,UBeyeJo,\N
1190,SAOTXWW-CB7YN91,PEROOT,UMCKNJU,\N
1193,SAOTXWL-B28CF51,Peroot,UWADEKA,\N
1194,SATD-14PNP21,PEROOT,USALDJO,\N
1195,SATD-31Q7T91,PEROOT,USALDJO,\N
1196,SATD-32VSS31,PEROOT,USALDJO,\N
1197,SATD-33PNP21,PEROOT,USALDJO,\N
1198,SATD-3QCTZ41,PEROOT,USALDJO,\N
1199,SATD-53FPP21,PEROOT,USALDJO,\N
1200,SATD-54PNP21,PEROOT,USALDJO,\N
1201,SATD-61Q7T91,PEROOT,USALDJO,\N
1202,SATD-63FPP21,PEROOT,USALDJO,\N
1203,SATD-65PNP21,PEROOT,USALDJO,\N
1204,SATD-67HKL61,PEROOT,USALDJO,\N
1205,SATD-866JY51,PEROOT,USALDJO,\N
1206,SATD-8MQNP21,PEROOT,USALDJO,\N
1207,SATD-8QL9W21,PEROOT,USALDJO,\N
1208,SATD-8Z84231,PEROOT,USALDJO,\N
1209,SATD-93PNP21,PEROOT,USALDJO,\N
1210,SATD-99DTZ41,PEROOT,USALDJO,\N
1211,SATD-9VHCR21,PEROOT,USALDJO,\N
1212,SATD-9ZHCR21,PEROOT,USALDJO,\N
1213,SATD-C4PNP21,PEROOT,USALDJO,\N
1214,SATD-D97YN91,PEROOT,USALDJO,\N
1215,SATD-DMQNP21,PEROOT,USALDJO,\N
1216,SATD-DV47351,PEROOT,USALDJO,\N
1217,SATD-FVMBR51,PEROOT,USALDJO,\N
1218,SATD-G1J5B21,PEROOT,USALDJO,\N
1219,SATD-G317Y21,PEROOT,USALDJO,\N
674,SAOTXWL-1MQB551,PEROOT.COM,UBARSKA,\N
675,SAOTXWL-6D9NZF1,PEROOT.COM,USOREAN,\N
676,SAOTXWL-1MGSM41,PEROOT.COM,USPEIAM,\N
677,SAOTXWL-JB3ZC81,PEROOT.COM,UFOSSSH,\N
678,SAOTXWL-FTXMJ91,PEROOT.COM,UFRALLI,\N
679,SAOTXWW-GZJQW41,PEROOT.COM,USLABPA,\N
680,SAOTXWL-8B84V61,PEROOT.COM,ULETTTE,\N
681,SAOTXWL-GFBTY91,PEROOT.COM,UDELOCH,\N
682,SAOTXWL-DDR0181,PEROOT.COM,UBOX9SH,\N
683,SAOTXWL-819JRD1,PEROOT.COM,UPARKCH,\N
684,SAOTXWL-4537551,PEROOT.COM,UGARZAN,\N
711,SATD-9MQNP21,PEROOT,UESPIM2,\N
743,SATD-bjp6l31,PEROOT,UELIZRU,\N
813,SAOTXWW-1QQNP21,PEROOT,\N,\N
814,SAOTXWL-7LMNHB1,PEROOT,\N,\N
815,SAOTXWW-147M1G1,PEROOT,\N,\N
816,SAOTXWW-JB7YN91,PEROOT,\N,\N
818,SAOTXWW-3XMBR51,PEROOT,\N,\N
819,SAOTXWW-9WMBR51,PEROOT,\N,\N
820,SAOTXWW-DYQ1Y61,PEROOT,\N,\N
821,SAOTXWW-59K0P91,PEROOT,\N,\N
822,SAOTXWL-9Z4DBG1,PEROOT,\N,\N
823,SAOTXWW-6627JC1,PEROOT,\N,\N
824,SAOTXWL-902B5K1,Peroot,\N,\N
825,saotxwl-2H0FZC1,PEROOT,\N,\N
826,SAOTXWL-DHCJQ51,Peroot,\N,\N
827,SAOTXWW-26T4J11,Peroot,\N,\N
828,SAOTXWW-J2K0P91,PEROOT,\N,\N
1191,SAOTXWW-986JY51,\N,UPREZJU,\N
1220,SATD-H3FPP21,PEROOT,USALDJO,\N
